ID,PRE/POST,ENVIRONMENT,FILENAME,HAS_ATTACHMENTS,REQUESTER,DURATION,CM_AM,CM_IT,CM_UAT,CM_TST5,CM_ST,CM_DEVE2E,CM_COURTESY,CM_PT,CM_CATALOG,CM_ACNDEVOPS,CM_PROD
1,POST,ALIGNMENT,Smascheramento_BL154_CR84.txt,FALSE,riccardo.dangelo,5,,x,,,,,,,,,
2,POST,ALIGNMENT,Catalogo_20222910_ExportAffinium_APPLETV_44246-50.txt,FALSE,salvatore.caroprese,5,,x,,,,,,,,,
3,POST,ALIGNMENT,2022_12_14_LOV_APPLE_TV.txt,TRUE,salvatore.caroprese,10,,x,,,,,,,,,
4,POST,ALIGNMENT,03112022_AccensioneSTUB.txt,FALSE,c.ferrigno,5,,x,,,,,,,,,
5,POST,ALIGNMENT,20221104_OS_ATT-771892.txt,FALSE,giancarlo.h.canillas,5,,x,,,,,,,,,
6,POST,ALIGNMENT,ModificaAppGlass_AssignmentTeam_Upsert_LOV_20221019.txt,TRUE,sabrina.spada,5,,x,,,,,,,,,
7,POST,ALIGNMENT,ModificaAppGlass_LOV_MotiviContatto_20221026.txt,TRUE,sabrina.spada,5,,x,,,,,,,,,
8,POST,ALIGNMENT,ModificaAppGlass_LOV_MotiviContatto_VariazConsist_20221019.txt,TRUE,sabrina.spada,5,,x,,,,,,,,,
9,POST,ALIGNMENT,20221104_DataLoader_LLAMAFF2WMLOV.txt,TRUE,francesco.degaetano,5,,x,,,,,,,,,
10,POST,ALIGNMENT,DataLoader_20221104_Upsert_ChangeApptActivityLOV.txt,TRUE,niso.cassiano,5,,x,,,,,,,,,
11,POST,ALIGNMENT,DataLoader_20221104_Upsert_ChangeApptActivityLOV2.txt,TRUE,niso.cassiano,5,,x,,,,,,,,,
12,POST,ALIGNMENT,20210726_FLS_NFS_AgendaAppointmentFields.txt,FALSE,niso.cassiano,5,,x,,,,,,,,,
13,POST,ALIGNMENT,20210726_FLS_OrderFields.txt,FALSE,niso.cassiano,5,,x,,,,,,,,,
14,POST,ALIGNMENT,20221107_FF2_SkyCenterDealers_Upsert_LOV.txt,TRUE,sabrina.spada,5,,x,,,,,,,,,
15,POST,ALIGNMENT,20221108_Dataloader_CS_Update.txt,TRUE,saket.vilas.kolte,5,,x,,,,,,,,,
16,PRE,ALIGNMENT,20221108_DataLoader_Octane_97460.txt,FALSE,francesco.degaetano,5,,x,,,,,,,,,
17,POST,ALIGNMENT,Delete_LOV_SkyCenterDealers.txt,FALSE,niso.cassiano,10,,x,,,,,,,,,
