ID,PRE/POST,ENVIRONMENT,FILENAME,HAS_ATTACHMENTS,REQUESTER,DURATION,CM_AM,CM_IT,CM_UAT,CM_TST5,CM_ST,CM_DEVE2E,CM_COURTESY,CM_PT,CM_CATALOG,CM_ACNDEVOPS,CM_PROD
1,POST,ALIGNMENT,NTT_List_of_values_Upsert_3_record.txt,TRUE,TurcoLo,10,x,x,x,x,x,x,,,,x,
2,POST,ALIGNMENT,NTT_New_Profile.txt,FALSE,MartinelliSt,60,,x,,,,,,,,,
3,POST,ALIGNMENT,NTT_PB_Activation.txt,FALSE,TurcoLo,10,,x,,,x,,,,,,
4,POST,ALIGNMENT,NTT_PB_Activation_2.txt,FALSE,TurcoLo,10,,x,,,,,,,,,
5,POST,ALIGNMENT,NTT_Flow_Activation.txt,FALSE,TurcoLo,10,,,,,x,,,,,,
6,POST,ALIGNMENT,NTT_Cambio_Label_Mail.txt,FALSE,MartinelliSt,10,,,,,x,,,,,,
7,POST,ALIGNMENT,NTT_Change_Search_Layout.txt,FALSE,TurcoLo,10,,,,,x,,,,,,
8,POST,ALIGNMENT,Insert_1_Config_Record.txt,TRUE,TurcoLo,30,,,,,x,,,,,,
9,POST,ALIGNMENT,Update_1_User.txt,FALSE,TurcoLo,10,,,,,x,,,,,,
10,POST,ALIGNMENT,NTT_Flow_Activation_2.txt,FALSE,PuglisiMa,10,,,,,x,,,,,,
21,POST,ALIGNMENT,NTT_Flow_Activation_3.txt,FALSE,TurcoLo,10,,,,,x,,,,,,
22,POST,ALIGNMENT,Campaign_Massive_Update.txt,FALSE,TurcoLo,60,,,,,x,,,,,,
35,POST,ALIGNMENT,Insert_LOV_CambioConsistenzaNC.txt,FALSE,TurcoLo,10,,,,,x,,,,,,
49,POST,ALIGNMENT,Change_ListView.txt,FALSE,TurcoLo,10,,,,,x,,,,,,x
64,POST,ALIGNMENT,NTT_Flow_Activation_4.txt,FALSE,PuglisiMa,10,,x,,,,,,,,,
65,PRE,ALIGNMENT,PB_Deactivation.txt,FALSE,TurcoLo,10,,x,,,,,,,,,
82,POST,ALIGNMENT,Change_ListView_2.txt,FALSE,PuglisiMa,10,,x,,,,,,,,,
100,POST,ALIGNMENT,Campaign_report.txt,FALSE,Amicod,90,,x,,,,,,,,,
101,POST,ALIGNMENT,NTT_Flow_Activation_5.txt,FALSE,PuglisiMa,10,,x,,,,,,,,,
102,POST,ALIGNMENT,Change_ListView_3.txt,FALSE,Amicod,10,,x,,,,,,,,,
103,POST,ALIGNMENT,Change_FieldLabel.txt,FALSE,Amicod,10,,x,,,,,,,,,
125,POST,ALIGNMENT,Schedule_Batch.txt,FALSE,TurcoLo,10,,,,,x,,,,,,
126,PRE,ALIGNMENT,Field_Creation.txt,FALSE,TurcoLo,30,,,,,x,,,,,,x
150,POST,ALIGNMENT,20230614_NTT_Flow_Activation.txt,FALSE,Amicod,10,,x,,,,,,,,,
151,POST,ALIGNMENT,NTT_LOV_dml_1.txt,TRUE,TurcoLo,30,,x,,,,,,,,,
152,POST,ALIGNMENT,20230616_NTT_Flow_Activation.txt,FALSE,PuglisiMa,10,,,,,x,,,,,,
153,POST,ALIGNMENT,20230629_Change_ListView.txt,FALSE,Amicod,10,,,,,x,,,,,,
181,POST,ALIGNMENT,20230821_Change_ListView.txt,FALSE,TurcoLo,10,,x,,,,,,,,,
182,POST,ALIGNMENT,20230823_NTT_Flow_Activation.txt,FALSE,PuglisiMa,10,,x,,,,,,,,,
212,POST,ALIGNMENT,20231018_NTT_Flow_Activation.txt,FALSE,PuglisiMa,10,,,,,x,,,,,,
213,POST,ALIGNMENT,20231005_NTT_Schedule_Batch.txt,FALSE,TurcoLo,10,,x,,,,,,,,,
214,POST,ALIGNMENT,20231010_Change_ListView.txt,FALSE,PuglisiMa,10,,x,,,,,,,,,
215,POST,ALIGNMENT,20230921_NTT_Flow_Activation.txt,FALSE,PuglisiMa,10,,,,,x,,,,,,
216,POST,ALIGNMENT,20231011_Change_CustomLabel.txt,FALSE,TurcoLo,10,,,,,x,,,,,,
217,POST,ALIGNMENT,20231010_NTT_Change_ListView.txt,FALSE,PuglisiMa,10,,x,,,,,,,,,
218,POST,ALIGNMENT,20231106_NTT_Update_Script_Activity.txt,FALSE,TurcoLo,10,,x,,,,,,,,,
219,POST,ALIGNMENT,20231106_NTT_Update_Script_Campaign.txt,FALSE,TurcoLo,10,,x,,,,,,,,,
255,POST,ALIGNMENT,20231113_NTT_Update_Script_Campaign.txt,FALSE,TurcoLo,10,x,,,,,,,,,,x
294,POST,ALIGNMENT,20240625_NTT_Flow_Activation.txt,FALSE,PuglisiMa,10,,,,,x,,,,,,
295,POST,ALIGNMENT,20240723_NTT_NPS_Delete.txt,FALSE,PuglisiMa,120,,x,,,,,,,,,
