ID,PRE/POST,ENVIRONMENT,FILENAME,HAS_ATTACHMENTS,REQUESTER,DURATION,CM_AM,CM_IT,CM_UAT,CM_TST5,CM_ST,CM_DEVE2E,CM_COURTESY,CM_PT,CM_CATALOG,CM_ACNDEVOPS,CM_PROD
1,POST,ALIGNMENT,Data_Loader_2022_12_21_BB_15036.txt,TRUE,franesco.degaetano,5,,x,,,,,,,,,
2,POST,ALIGNMENT,LLAMA_AgendaLayout_Visibility.txt,FALSE,niso.cassiano,5,,x,,,,,,,,,
3,POST,ALIGNMENT,27_12_2022_MP_SMASCHERAMENTO_BL154.txt,FALSE,franesco.degaetano,5,,x,,,,,,,,,
4,POST,ALIGNMENT,DataLoader_20230105_Extra_Warranty_LOV.txt,TRUE,niso.cassiano,5,,x,,,,,,,,,
5,POST,ALIGNMENT,20230105_FF2CancellazioneExtraGlass_UpsertLOV_2.txt,TRUE,niso.cassiano,5,,x,,,,,,,,,
6,POST,ALIGNMENT,20230105_FF2CancellazioneExtraGlass_UpsertLOV.txt,TRUE,niso.cassiano,5,,x,,,,,,,,,
7,POST,ALIGNMENT,DataLoader_20230105_Upsert_SKY015.txt,TRUE,niso.cassiano,5,,x,,,,,,,,,
8,POST,ALIGNMENT,20230111_Escalation_MappingCategoria_ATT-781837.txt,FALSE,giancarlo.h.canillas,5,x,,,,,,,,,,
9,POST,ALIGNMENT,20230111_Escalation_ListViewLayoutButtonPGLS_ATT-781837.txt,FALSE,saket.vilas.kolte,5,x,,,,,,,,,,
10,POST,ALIGNMENT,20230111_ManualPorcedure_ATT-785825.txt,FALSE,stefano.carannante,2,x,,,,,,,,,,
11,POST,ALIGNMENT,20230111_ATT-785828.txt,FALSE,c.ferrigno,2,,,,,,,,,,,
12,POST,ALIGNMENT,20230111_ATT-784814.txt,FALSE,a.cr.sharma,5,x,,,,,,,,,,
13,POST,ALIGNMENT,27_12_2022_MP_SMASCHERAMENTO_BL154.txt,FALSE,francesco.degaetano,5,x,,,,,,,,,,
14,POST,ALIGNMENT,2023.01.11_Manual_Procedure_ATT-782771.txt,FALSE,giuseppe.bonura,5,x,,,,,,,,,,
