ID,PRE/POST,ENVIRONMENT,FILENAME,HAS_ATTACHMENTS,REQUESTER,DURATION,CM_AM,CM_IT,CM_UAT,CM_TST5,CM_ST,CM_DEVE2E,CM_COURTESY,CM_PT,CM_CATALOG,CM_ACNDEVOPS,CM_PROD
1,POST,ALIGNMENT,ITV_NPP_UPSELLING_ManualProcedures.txt,FALSE,Shridhar Rakshe,5,,x,x,,,,,,,,
2,POST,ALIGNMENT,20220818_MP_Disattivare-Riattivare-OS-LLAMA.txt,FALSE,alessandro.ferrari,5,,x,,,,,,,,,x
3,POST,ALIGNMENT,2023.02.08_LlamaFF2_ManualProcedures_PostDeploymentStep.txt,FALSE,Damini Chauhan,5,,x,x,,,,,,,,x
4,POST,ALIGNMENT,20230127_MP_Disattivare_e_riattivare_OS_MigrazioneNPP.txt,FALSE,kristian.monaco,5,x,,,,,,,,,,x
5,POST,ALIGNMENT,2022.04.27_BFX_AmministrazioneAttivita.txt,FALSE,lorenzo.bellinzona,5,x,x,,x,,,,,,,x
6,POST,ALIGNMENT,2021.09.15_DigitalMigrationWarmUp.txt,FALSE,sara.chiartosini,5,,,,X,,,,,,,
7,POST,ALIGNMENT,2021.09.28_NewInterfaceImplementation.txt,FALSE,sara.chiartosini,5,,,,X,,,,,,,
8,POST,ALIGNMENT,2021.09.28_AmministrazioneAttività.txt,FALSE,teresa.chiuso,5,,X,X,,,,,,,,
9,POST,ALIGNMENT,2021.09.28_NewInterfaceImpl.txt,FALSE,sara.chiartosini,5,,,,X,,,,,,,
10,POST,ALIGNMENT,2021.10.12_EliminazioneCampoData_Attivazione_Sky_go_extra__c,FALSE,teresa.chiuso,5,,X,,,,,,,,,
11,POST,ALIGNMENT,2021.10.13_vlocityAPIMetadataChanges.txt,FALSE,a.gunasekaran,5,,X,X,,,,,,,,
12,POST,ALIGNMENT,2021.10.19_DisattivazioneAttivitàSKY994.txt,FALSE,teresa.chiuso,5,,X,,,,,,,,,
13,POST,ALIGNMENT,2021.11.18_vlocityAPIMetadataChanges.txt,FALSE,a.gunasekaran,5,,X,X,,,,,,,,
14,POST,ALIGNMENT,2021.11.18_vlocityAPIMetadataChanges.txt,FALSE,sara.chiartosini,10,,,,,,,,,,,
15,POST,ALIGNMENT,20220121_ImportListOfValueActivity_LLAMA.txt,TRUE,paolo.occhetto,5,,x,x,X,,,,,,,
16,POST,ALIGNMENT,2022.02.28_AmministrazioneAttività.txt,FALSE,emanuele.coppola,1,,,X,,X,,,,,,x
17,POST,ALIGNMENT,20220500_FieldMapper_ConfigureFieldMapper.txt,FALSE,emanuele.coppola,5,,,X,,X,,,,,,x
18,POST,ALIGNMENT,20220500_LOV_ImportChurn_Reason.txt,TRUE,lorenzo.bellinzona,2,,,X,,X,,,,,,x
19,POST,ALIGNMENT,20220500_LOV_ImportCHURN_REASON_BY_COMPONENT.txt,TRUE,lorenzo.bellinzona,2,,,X,,X,,,,,,x
20,POST,ALIGNMENT,20220500_LOV_ImportServiceToServiceRequest.txt,TRUE,lorenzo.bellinzona,2,,,X,,X,,,,,,x
21,POST,ALIGNMENT,20220500_LOV_ImportSKY354.txt,TRUE,lorenzo.bellinzona,2,,,X,,X,,,,,,x
22,POST,ALIGNMENT,20220322_Attribute_Override_ProvaSky_Sellin.txt,FALSE,federica.giacalone,5,,,X,,X,,,,X,,x
23,POST,ALIGNMENT,2022.04.13_AmministrazioneAttivita.txt,FALSE,lorenzo.bellinzona,1,x,x,,x,x,,,,,,
24,POST,ALIGNMENT,20220427_NewFieldsLevelSecurity_ProvaSky_Sellin.txt,FALSE,lorenzo.bellinzona,5,,,X,,X,,,,X,,x
25,POST,ALIGNMENT,2022.05.04_BFX_AmministrazioneAttivita.txt,FALSE,lorenzo.bellinzona,15,x,x,,x,,,,,,,x
26,POST,ALIGNMENT,2022.04.27_AssegnazionePermissionSet.txt,FALSE,coppola.emanuele,15,,,x,,x,,,,,,x
27,POST,ALIGNMENT,2022.05.11_BFX_AmministrazioneAttivita.txt,FALSE,lorenzo.bellinzona,15,x,x,,x,,,,,,,x
28,POST,ALIGNMENT,MP_Catalogo_RuleAssignmentOnPle.txt,TRUE,federico.santurbano,15,x,,x,,,,,,,,x
29,POST,ALIGNMENT,2022.04.27_SchedulazioneReport.txt,FALSE,coppola.emanuele,15,,,x,,x,,,,,,x
30,POST,ALIGNMENT,2022.05.31_HF_Update_Promotion_Item.txt,TRUE,federico.santurbano,10,,,,,,,,,,,
31,POST,ALIGNMENT,20220727_FieldMapper_ConfigureFieldMapper.txt,FALSE,lorenzo.bellinzona,5,,,X,,X,,,,,,
32,POST,ALIGNMENT,2022.06.10_CustomPUTAWSConnection.txt,FALSE,arunkumar.gunasekaran,15,,,,,,,,,,,
